DRE EL KEF,,,,,,,,,,,,,,,,,
N°,Nom de projet ,L'Ingénieur Chargé de l'affaire,D.A.O,,,D0,EXE,,,Nbre des V.tes ,Nbre des V.tes éffect,Avcment des travaux,R PRO,D6,R DEF,Observations,
29,Aménagement du marche local (HEBDOMADAIRE) au TOUIREF,Abdelwaheb Bannour,X,,,X,,,,14,,0%,,X,,Travaux non entamés                                          ,
30,Renforcement du restaurant universitaire HANNIBAL au KEF,Abdelwaheb Bannour,X ,,,,X,,,10,10,100%,X,,X,Travaux réceptionnés                                             Facture N°1 établie et transmise le 13/10/2022 ,
31,Aménagement du local de la protection civile à DAHMANI ,Abdelwaheb Bannour                         Larbech Adel ,X,X,X,X, X,,,10,6,100%,X,X,,Travaux réceptionnés                                             Facture N°1 établie et transmise le 17/08/2023 ,
32,Réamenagement de la délégation du logement de fonction à SAKIET SIDI YOUSSEF -TRANCHE II,Abdelwaheb Bannour                      Larbech Adel                         Gmati Salem,X,X,X,X,X,X,X,10,10,100%,X ,X,X,Travaux réceptionnés                                             Facture N°1 et la dernière établie et transmise   le 11/10/2022 ,PAS DE D0 ET D6
33,Achèvement de construction du salle des sports individuelle au SERS,Abdelwaheb Bannour,X,,,X,X,,,14,1,0%,,X,,Travaux non entamés,
34,Reconstruction de la justice contonal TAJROUINE ,Larbech Adel                                              Gmati Salem,X,X,X,X,X,,,50,3,15%,,X,,Travaux en cours,
35,Aménagement de la maison des jeunes OUED MALLEGUE (2ème TRANCHE), Abdelwaheb Bannour  ,X,,,X,,,,10,,0%,,X,,Travaux non entamés  ,
36, Restauration du siège de la Municipalité et le logement de fonction au NEBEUR,,,,,X,,,,8,,0%,,X,,Travaux non entamés                                                  (BC reçcu / Dossiers non reçus),
37,Aménagement du parc Municipal au TOUIREF,Abdelwaheb Bannour                          Larbech Adel,X,,,X,X,X,,8,7,100%,X,X,,Travaux en cours                                                    Facture N°1 établie et transmise le 13/10/2022,
38,Démolution et reconstruction du club des enfants 18 janvier au KEF et la création d'un espace pour la petite enfance ,,,,,X,,,,26,,0%,,X,,Travaux non entamés                                                  (BC reçcu / Dossiers non reçus),
39,Construction d'un local pour la bibliothèque ambilante au KEF ,Larbech Adel                       Hedfi Mahdi ,X,X,,X,X,X,X,10,10,100%,,X,,Travaux réceptionnés (absence du PV de R)                                              Facture N°1 établie et transmise le 19/02/2021,
40,Aménagement d'un jardin d'enfants-ELKSOUR ,Abdelwaheb Bannour                   Larbech Adel                      Hedfi Mahdi,X,X,,X,X,X,X,10,4,100%,,X,,Travaux terminés            renforcement,
41,"Aménagement du maison des jeunes ""EL MAHJOUBA"" au KALAAT SINEN ",Chaari Bilel                  Larbech Adel,X,,,X,,X,,8,2,100%,X,X,,Travaux réceptionnées,
42,Maintenance du générateur électrique au siège la gouvernorat du KEF,,,,,X,,,,8,,0%,,X,,Travaux non entamés                                                  (BC reçcu / Dossiers non reçus),
43,Travaux d'entretien de la première instance du KEF (1ère tranche),Gmati Salem,,,X,X,,,X,10,,0%,X,X,,Travaux non entamés,
44,Aménagement du club d'enfants au DAHMANI,,,,,X,,,,5,,0%,,X,,Travaux non entamés                                                  (BC reçcu / Dossiers non reçus),
45,Aménagement de l'abattoir municipal au TOUIREF,,,,,X,,,,!,,0%,,X,,Travaux non entamés                                                  (BC reçcu / Dossiers non reçus),
46,Aménagement d'une jardin d'enfants DAHMANI,Larbech Adel    ,,,,X,,,,3,1,100%,X,X,,Travaux réceptionnés                                                  (BC reçcu / Dossiers non reçus),
47,Aménagement du centre régional de l'informatique dirigé aux enfants -EL KEF ,Larbech Adel                      Hedfi Mahdi ,X,X,X,X, ,,,!,,0%,,X,,Travaux non entamés                                              ,
48,Rénovation de l'unité de chauffage central du service des urgences de l'HOPITAL REGIONAL DE KEF,Hedfi Mahdi,,,,X,,,X,3,3,100%,X,X,X,Travaux réceptionnés    ,PAS DE D0 ET D6
49,Instalation des fluides médicaux a l'HOPITAL LOCAL du TAJEROUINE ,Gmati Salem,,                                                                                                                                     ,X,X,,,X,10,3,100%,X,X, ,Travaux réceptionnés                                             Facture N°1 établie et transmise le 15/11/2022,PAS DE D0 ET D6
50,Installation des fluides médicaux a l'HOPITAL REGIONAL du KEF (lot fluides médicaux -lot stérilisation et désinfection) ,Gmati Salem,, ,X,X,,,,30,2,100%,X,X,,Travaux réceptionnés                                             Facture N°1 établie et transmise le 10/11/2022,PAS DE D0 ET D6
51,Installation des fluides médicaux a l'HOPITAL LOCAL du NIBEUR (FLUIDES MEDICAUX),Gmati Salem,,,X,X,,,,8,2,100%,X,X,,Travaux réceptionnés                                             Facture N°1 établie et transmise le 15/11/2022,PAS DE D0 ET D6
52,Installation des fluides médicaux a l'HOPITAL LOCAL DU SAKIET SIDI YOUSSEF (lot Fluides),Gmati Salem,,,X,X,,,X,10,2,100%,X,X,,  Travaux réceptionnés                                          Facture N°1 établie et transmise le 15/11/2022,PAS DE D0 ET D6
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,Lot non prévu,,,,,,,,,,
,,,,,,,Dossier non reçu,,,,,,,,,,
,,,,,,,Dossier non approuvé,,,,,,,,,,
,,,,,,,Dossier reçu et en cours de vérification,,,,,,,,,,
,,,,,,,MAJ TUNIS,,,,,,,,,,
